--- source : https://socket.dev/blog/antv-packages-compromised#Affected-Packages ---

jest-date-mock (v1.1.11, v1.2.11)
jest-electron (v0.2.12, v0.3.12)
jest-expect (v0.1.1, v0.2.1)
jest-less-loader (v0.3.0, v0.4.0)
jest-random-mock (v1.1.0, v1.2.0)
jest-url-loader (v0.2.0, v0.3.0)
limit-size (v0.2.4, v0.3.4)
lint-md (v0.3.0, v0.4.0)
lint-md-cli (v0.2.2, v0.3.2)
mbt (v1.2.48)
mcp-echarts (v0.8.1, v0.9.1)
mcp-mermaid (v0.5.1, v0.6.1)
miz (v1.1.1, v1.2.1)
ml-toolkit-ts (v1.0.4, v1.0.5)
nextmove-mcp (v0.1.3, v0.1.4, v0.1.5, v0.1.6, v0.1.7)
onfire.js (v2.1.1, v2.2.1)
openclaw-cn (v0.3.0)
react-adsense (v0.2.0, v0.3.0)
relationship.js (v1.3.9, v1.4.9)
ribbon.js (v1.1.2)
safe-action (v0.8.3, v0.8.4)
size-sensor (v1.1.4, v1.2.4)
slice.js (v1.2.1, v1.3.1)
timeago-react (v3.1.7, v3.2.7)
timeago.js (v4.1.2, v4.2.2)
ts-dna (v3.0.1, v3.0.2, v3.0.3, v3.0.4, v3.0.5)
uri-parse (v1.1.0, v1.2.0)
word-width (v1.1.1, v1.2.1)
wot-api (v0.8.1, v0.8.2, v0.8.3, v0.8.4)
xmorse (v1.1.0, v1.2.0)
